Name,Language,IMDb Rating,Running Time,Year of Release,Viewer_age,Type
Salaam Namaste,Hindi,6.2,2 h 38 min,2005,13+,Movie
"YASHKA, BATTALION OF DEATH",English,None,53min,2019,13+,Movie
Mongolia - In The Shadow of Genghis Khan,English,None,55min,2019,13+,Movie
Prematho Mee Karthik,Telugu,6.6,1 h 55 min,2017,All,Movie
Sakkha Savatra,Marathi,None,2 h 12 mins,2007,All,Movie
Overtake,Malayalam,6.8,1 h 59 min,2017,All,Movie
Short Term 12,English,8,1 h 36 min,2013,18+,Movie
People Like Us,English,7.1,1 h 54 min,2012,16+,Movie
Bakso Bondi,Bengali,None,21min,2018,13+,Movie
UNTRACEABLE,English,6.2,1 h 36 min,2008,13+,Movie
Chaos Theory,Malayalam,6.6,17min,2018,All,Movie
Maharasan,Tamil,6.2,2 h 24 min,1993,NR,Movie
Maai Baap,Marathi,None,1 h 50 mins,2007,All,Movie
Encounter - The Killing,Hindi,6.3,2 h 26 min,2002,13+,Movie
Agnipankh,Hindi,4.5,2 h 14 min,2004,All,Movie
Dongala Vetagaadu,Telugu,None,2 h 9 min,1985,NR,Movie
Fantastic Beasts and Where to Find Them,Telugu,7.3,2 h 12 min,2016,13+,Movie
Rathaavara,Kannada,6.5,2 h 11 min,2015,13+,Movie
The Ninth Configuration,English,7,1 h 57 min,1980,18+,Movie
Sneham,Malayalam,6.8,2 h 14 min,1998,NR,Movie
2016 The End,Hindi,5.8,2 h 1 min,2017,13+,Movie
Beautiful Boy,English,7.3,2h,2018,18+,Movie
Rocket Singh Salesman of the Year,Hindi,7.5,2 h 34 min,2009,13+,Movie
Aparajito,Bengali,8.4,1 h 33 min,2017,13+,Movie
Sivakasi,Tamil,5.3,2 h 55 min,2005,All,Movie
Big Game,Tamil,5.4,1 h 27 min,2015,16+,Movie
Terminator Genisys,English,6.3,2 h 5 min,2015,13+,Movie
Unrelated,English,6.8,1 h 35 min,2007,NR,Movie
Welcome,Hindi,6.9,2 h 29 min,2007,13+,Movie
Gangs of Wasseypur Part 1,Hindi,8.2,2 h 41 min,2012,18+,Movie
Ghar Basake Dekho,Hindi,5.8,2 h 19 min,None,NR,Movie
GAMBIT,English,5.7,1 h 29 min,2013,13+,Movie
Ab To Jagoo,Hindi,None,1 h 30 min,2013,NR,Movie
Rajavinte Makan,Malayalam,7.6,2 h 8 min,1986,NR,Movie
Around Them,English,None,52min,2020,13+,Movie
Manya Sajjana,Marathi,None,2 h,2008,All,Movie
Adarshavanthudu,Telugu,None,2 h 6 min,None,NR,Movie
Mahanati (Telugu),Telugu,8.5,2 h 50 min,2018,All,Movie
Yatra (Malayalam),Malayalam,8.2,2 h 5 min,2019,All,Movie
Cat in the Hat,English,4,1 h 21 min,2003,7+,Movie
Kirdar E Sardar,Punjabi,7.2,2 h 16 mins,2017,13+,Movie
Alvin and the Chipmunks: The Squeakquel,English,4.5,1 h 28 min,2009,All,Movie
Touring Talkies,English,7.7,52min,2020,13+,Movie
Pratignya,Bengali,None,1 h 57 min,1985,NR,Movie
Gold,Hindi,7.3,2 h 25 min,2018,13+,Movie
Baap Re Baap Dokyala Taap,Marathi,6,2 h 20 mins,2008,All,Movie
Rapture-Palooza,English,5.2,1 h 24 min,2013,18+,Movie
Jane Anjane,Hindi,None,2 h 19 min,1971,NR,Movie
Aloo Paratha,Bengali,None,4min,2020,13+,Movie
C.B.I. Shankar,Kannada,7.7,2 h 10 min,1989,NR,Movie
Billa No. 786,Hindi,4.5,2 h 20 min,2001,NR,Movie
Darna Mana Hai,Hindi,6.3,1 h 56 min,2003,18+,Movie
Vivaha Bhojanambu,Telugu,7.7,2 h 18 min,1988,NR,Movie
Hear No Evil,English,5.1,1 h 36 min,1993,18+,Movie
Homefront,Telugu,6.5,1 h 36 min,2013,18+,Movie
Bobbili Brahmanna,Telugu,5.4,2 h 2 min,1984,NR,Movie
Hum Ho Gaye Aap Ke,Hindi,4.2,2 h 37 min,2001,13+,Movie
Ellame En Pondattithaan,Tamil,None,2 h 32 min,1998,All,Movie
Okkadu,Telugu,8,2 h 35 min,2003,NR,Movie
The Collection,English,6.1,1 h 17 min,2012,18+,Movie
Tere Pyar Mein,Hindi,None,1 h 48 min,1979,NR,Movie
The Stolen Princess (Telugu),Telugu,None,1 h 28 min,2018,All,Movie
Prithibir Sesh Station,Bengali,None,2 h 4 min,1993,NR,Movie
Pudhu Yugam,Tamil,None,2h,1985,NR,Movie
The Peanut Seller,Hindi,None,19min,2017,All,Movie
Bazaar,Kannada,5.9,2 h 27 min,2019,13+,Movie
It Happened One Christmas,English,6.2,1 h 50 min,1977,13+,Movie
Ente Kaanakkuyil,Malayalam,None,1 h 56 min,1985,NR,Movie
Silly Fellows,Telugu,6,2 h 3 min,2018,All,Movie
Kaya Hiner Kahini,Bengali,6.9,1 h 53 min,1973,NR,Movie
Raatriki Velayara,Telugu,None,59min,1994,NR,Movie
Chitchor,Hindi,7.5,1 h 42 min,1976,All,Movie
Kanoon,Hindi,7.9,2 h 19 min,None,All,Movie
Hit (The First Case),Telugu,7.7,2 h 8 min,2020,13+,Movie
Srinivasa Kalyanam,Hindi,6.1,2 h 2 min,2018,All,Movie
Shuddh Desi Romance,Hindi,5.8,2 h 6 min,2013,13+,Movie
Bal Ganesh (Malayalam),Malayalam,None,1 h 42 min,2007,All,Movie
The Bongs Again,Bengali,5.5,1 h 56 min,2017,13+,Movie
Mettukudi,Tamil,6.6,2 h 15 min,1996,All,Movie
Touch Chesi Chudu,Telugu,4.8,2 h 21 min,2018,13+,Movie
Sadi Gali Aaya Karo,Punjabi,None,2 h 15 mins,2012,All,Movie
Zenda,Marathi,7,2 h 1 mins,2009,13+,Movie
Streetscapes [Dialogue],English,None,2 h 11 min,2017,NR,Movie
Dugout,English,None,52min,2019,13+,Movie
Padmaavat,Telugu,7,2 h 42 min,2018,13+,Movie
Kinaare,Kannada,None,2 h 35 min,2018,13+,Movie
Chirantan,Bengali,None,1 h 40 min,1979,NR,Movie
Pangali,Tamil,None,2 h 40 min,1992,NR,Movie
Looper,English,7.4,1 h 54 min,2012,18+,Movie
Sahasam Swasaga Sagipo,Telugu,6.9,2 h 16 min,2016,13+,Movie
Mujhse Fraaandship Karoge,Hindi,6.9,1 h 44 min,2011,13+,Movie
Thavamai Thavamirunthu,Tamil,7.8,3 h 24 min,2005,All,Movie
Air Strike,Hindi,3.2,1 h 37 min,2018,18+,Movie
Lights Out,Tamil,6.3,1 h 20 min,2016,18+,Movie
The Burning Hell,English,3.6,59min,1974,NR,Movie
Room,English,8.1,1 h 53 min,2015,16+,Movie
Pahare Atankya,Bengali,None,2 h 3 min,2016,13+,Movie
Kayamkulam Kanaran,Malayalam,3.9,1 h 54 min,2002,NR,Movie
Mariah Carey's All I Want For Christmas Is You,English,None,1 h 30 min,2017,All,Movie
Drona,Hindi,None,2 h 24 min,2008,NR,Movie
Punjab Singh,Punjabi,6.2,2 h 30 mins,2018,13+,Movie
Shriman Prithviraj,Bengali,None,1 h 47 min,2017,13+,Movie
Her,English,8,2 h 1 min,2014,18+,Movie
The Matrix,English,8.7,2 h 16 min,1999,18+,Movie
Chingari,Kannada,5.6,2 h 7 min,2012,13+,Movie
Bobby Jasoos,Hindi,5.5,1 h 56 min,2014,All,Movie
Fanaa,Hindi,7.2,2 h 48 min,2006,13+,Movie
Bhoot Part One - The Haunted Ship,Hindi,5.4,1 h 50 min,2020,16+,Movie
Gavthi,Marathi,7.5,2 h 32 mins,2018,NR,Movie
Rammstein in Amerika - Live from Madison Square Garden,English,8.7,1 h 41 min,2015,18+,Movie
Cinerama’s Russian Adventure,English,None,2 h 7 min,None,7+,Movie
Maaveeran,Tamil,7.6,2 h 36 min,1986,NR,Movie
Mithai,Telugu,4.3,2 h 17 min,2019,13+,Movie
Made with Pride,English,None,56min,2020,13+,Movie
Aaron,Marathi,7.3,1 h 55 mins,2018,13+,Movie
Jack Ryan: Shadow Recruit,Hindi,6.2,1 h 45 min,2014,13+,Movie
Chira Bhandhavya,Kannada,None,2 h 14 min,1993,NR,Movie
Texas Chainsaw Massacre,Hindi,4.8,1 h 28 min,2013,18+,Movie
Adhinayakudu,Telugu,3.6,2 h 31 min,2012,18+,Movie
Mutthanna,Kannada,8.6,2 h 26 min,1994,NR,Movie
Dictator - Yudh Ek Jung,Hindi,None,2 h 26 min,2016,NR,Movie
Jakkanna,Telugu,6,2 h 16 min,2016,13+,Movie
Elysium,Hindi,6.6,1 h 49 min,2013,18+,Movie
Born To Race,Marathi,6,1 h 38 mins,2012,16+,Movie
Bandobast,Telugu,6.3,2 h 43 min,2019,13+,Movie
Gamer,Telugu,5.8,1 h 34 min,2009,18+,Movie
3 Monkeys,Telugu,6.5,2 h 8 min,2020,13+,Movie
Prem Ratan Dhan Payo,Hindi,4.4,2 h 44 min,2015,All,Movie
Ramji Rao Speaking,Malayalam,8.5,2 h 20 min,1989,NR,Movie
Nazrana Pyar Ka,Hindi,4.9,2 h 23 min,1980,NR,Movie
Endless Love,English,5,1 h 55 min,1981,18+,Movie
Apple Cake,Kannada,6.5,2 h 22 min,2018,13+,Movie
Mr 7,Telugu,None,1 h 54 min,2012,NR,Movie
100,Tamil,6.5,2 h 16 min,2019,13+,Movie
Natha Pure Aata,Marathi,None,2 h 23 mins,2005,All,Movie
Dennis the Menace: Memory Mayhem,English,None,1 h 8 min,1987,All,Movie
Sketch,Tamil,5.7,2 h 11 min,2018,13+,Movie
E Ki Labonye,Bengali,None,2 h 4 min,2016,13+,Movie
Pune Via Bihar,Marathi,4.6,2 h 7 mins,2014,13+,Movie
